year,name,grid,positionOrder,points,position_change
2024,Emilia Romagna Grand Prix,16,18,0.0,2
2024,Monaco Grand Prix,17,13,0.0,-4
2024,Canadian Grand Prix,0,13,0.0,13
2024,Spanish Grand Prix,12,16,0.0,4
2024,Austrian Grand Prix,18,16,0.0,-2
2024,British Grand Prix,16,15,0.0,-1
2024,Hungarian Grand Prix,12,16,0.0,4
2024,Belgian Grand Prix,14,15,0.0,1
2024,Dutch Grand Prix,16,19,0.0,3
2024,Italian Grand Prix,19,16,0.0,-3
2024,Azerbaijan Grand Prix,16,16,0.0,0
2024,Singapore Grand Prix,19,16,0.0,-3
2024,United States Grand Prix,16,17,0.0,1
2024,Mexico City Grand Prix,15,14,0.0,-1
2024,São Paulo Grand Prix,11,13,0.0,2
2024,Las Vegas Grand Prix,19,18,0.0,-1
2024,Qatar Grand Prix,13,11,0.0,-2
2024,Abu Dhabi Grand Prix,9,18,0.0,9
